#Background,#Icon,#NumberText,#CardText
background/front-white.png,icon/icon-PAX.png,1 / 27,Collecting all seven power crystals.
background/front-white.png,icon/icon-PAX.png,2 / 27,Whatever Final Fantasy bullshit happened this year.
background/front-white.png,icon/icon-PAX.png,3 / 27,Endless ninjas.
background/front-white.png,icon/icon-PAX.png,4 / 27,Demons and shit.
background/front-white.png,icon/icon-PAX.png,5 / 27,The imagination of Peter Jackson.
background/front-white.png,icon/icon-PAX.png,6 / 27,Futuristic death sports.
background/front-white.png,icon/icon-PAX.png,7 / 27,KHAAAAAAAAAN!.
background/front-white.png,icon/icon-PAX.png,8 / 27,The Star Wars universe.
background/front-white.png,icon/icon-PAX.png,9 / 27,taking 2d6 emotional damage.
background/front-white.png,icon/icon-PAX.png,10 / 27,A grumpy old Harrison Ford who'd rather be doing anything else.
background/front-white.png,icon/icon-PAX.png,11 / 27,All of the good times and premium gaming entertainment available to you in the Kickstarter room.
background/front-white.png,icon/icon-PAX.png,12 / 27,Attacking from Kamchatka.
background/front-white.png,icon/icon-PAX.png,13 / 27,Separate drinking fountains for dark elves.
background/front-white.png,icon/icon-PAX.png,14 / 27,Lagging out.
background/front-white.png,icon/icon-PAX.png,15 / 27,Getting bitten by a radioactive spider and then battling leukemia for 30 years.
background/front-white.png,icon/icon-PAX.png,16 / 27,Mistakenly hitting on a League of Legends statue.
background/front-white.png,icon/icon-PAX.png,17 / 27,Ser Jorah Mormonts cerulean-blue balls.
background/front-white.png,icon/icon-PAX.png,18 / 27,The old gods.
background/front-white.png,icon/icon-PAX.png,19 / 27,Stuffing my balls into a Sega Genesis and pressing the power button.
background/front-white.png,icon/icon-PAX.png,20 / 27,"The pure, zenlike state that exists between micro and macro."
background/front-white.png,icon/icon-PAX.png,21 / 27,A giant mechanical bird with a tragic backstory.
background/front-white.png,icon/icon-PAX.png,22 / 27,"Xena, Warrior Princess."
background/front-black.png,icon/icon-PAX.png,23 / 27,"Unfortunately Neo, no one can be told what _____ is. You have to see it for yourself."
background/front-black.png,icon/icon-PAX.png,24 / 27,"(Heavy Breathing) Luke, I am _______ ."
background/front-black.png,icon/icon-PAX.png,25 / 27,"You think you have defeated me? Well, let's see how you handle _____."
background/front-black.png,icon/icon-PAX.png,26 / 27,"What the hell?! They added a 6/6 with flying, trample and ____ ."
background/front-black-pick2.png,icon/icon-PAX.png,27 / 27,_____ is way better in ______ mode.
